elec_date,county_name,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,1,CHRIS POWELL,LIB,6,22,211,239
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,2,KEVIN STITT,REP,68,181,2928,3177
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10001,FOR GOVERNOR,,17,17,3,DREW EDMONDSON,DEM,54,144,1541,1739
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,1,MATT PINNELL,REP,77,199,3183,3459
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,2,ANASTASIA A. PITTMAN,DEM,47,133,1269,1449
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10002,FOR LIEUTENANT GOVERNOR,,17,17,3,IVAN HOLMES,IND,5,13,191,209
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,17,17,1,JOHN YEUTTER,LIB,27,90,1013,1130
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10003,FOR STATE AUDITOR AND INSPECTOR,,17,17,2,CINDY BYRD,REP,91,228,3380,3699
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,17,17,1,MIKE HUNTER,REP,83,211,3353,3647
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10004,FOR ATTORNEY GENERAL,,17,17,2,MARK MYLES,DEM,48,129,1277,1454
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,17,17,1,RANDY McDANIEL,REP,87,236,3484,3807
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10005,FOR STATE TREASURER,,17,17,2,CHARLES de COUNE,IND,27,80,901,1008
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,1,JOY HOFMEISTER,REP,71,152,2425,2648
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,2,JOHN COX,DEM,57,167,1873,2097
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10006,FOR SUPERINTENDENT OF PUBLIC INSTRUCTION,,17,17,3,LARRY HUFF,IND,3,26,361,390
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,1,LESLIE OSBORN,REP,75,186,2972,3233
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,2,FRED DORRELL,DEM,50,139,1399,1588
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10007,FOR COMMISSIONER OF LABOR,,17,17,3,BRANDT DISMUKES,IND,6,16,224,246
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,17,17,1,GLEN MULREADY,REP,75,195,3089,3359
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10008,FOR INSURANCE COMMISSIONER,,17,17,2,KIMBERLY FOBBS,DEM,55,141,1518,1714
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,17,17,1,BOB ANTHONY,REP,76,195,2966,3237
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,17,17,2,ASHLEY NICOLE McCRAY,DEM,47,131,1382,1560
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10009,FOR CORPORATION COMMISSIONER,,17,17,3,JACKIE SHORT,IND,5,13,259,277
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10011,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,1,RICHARD CASTALDO,LIB,4,10,95,109
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10011,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,2,MARKWAYNE MULLIN,REP,77,185,3088,3350
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10011,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,3,JASON NICHOLS,DEM,47,142,1335,1524
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10011,FOR UNITED STATES REPRESENTATIVE DISTRICT 02,,17,17,4,JOHN FOREMAN,IND,1,9,167,177
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10124,FOR STATE REPRESENTATIVE DISTRICT 86,,17,17,1,DAVID HARDIN,REP,79,186,2939,3204
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10124,FOR STATE REPRESENTATIVE DISTRICT 86,,17,17,2,RHONDA COX,DEM,50,158,1729,1937
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10167,FOR COUNTY ASSESSOR,,17,17,1,TERESA TURNER,REP,58,129,2317,2504
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10167,FOR COUNTY ASSESSOR,,17,17,2,TERESA TRACY SIMS,DEM,70,213,2334,2617
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10398,FOR COUNTY COMMISSIONER DISTRICT NO. 3,,5,5,1,LARRY WOOD,REP,21,59,1082,1162
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10398,FOR COUNTY COMMISSIONER DISTRICT NO. 3,,5,5,2,KEITH DAVIS,DEM,22,29,658,709
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10536,"FOR DISTRICT JUDGE DISTRICT 15, OFFICE 4",,17,17,1,BRET A. SMITH,,65,166,2251,2482
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",10536,"FOR DISTRICT JUDGE DISTRICT 15, OFFICE 4",,17,17,2,JAMES E. WALTERS,,49,135,1748,1932
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20002,SUPREME COURT DISTRICT 2 - PATRICK WYRICK,,17,17,1,YES,,80,160,2383,2623
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20002,SUPREME COURT DISTRICT 2 - PATRICK WYRICK,,17,17,2,NO,,41,146,1779,1966
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20003,SUPREME COURT DISTRICT 3 - NOMA D. GURICH,,17,17,1,YES,,75,159,2221,2455
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20003,SUPREME COURT DISTRICT 3 - NOMA D. GURICH,,17,17,2,NO,,47,144,1923,2114
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20004,SUPREME COURT DISTRICT 4 - YVONNE KAUGER,,17,17,1,YES,,66,168,2188,2422
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20004,SUPREME COURT DISTRICT 4 - YVONNE KAUGER,,17,17,2,NO,,51,138,1932,2121
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20007,SUPREME COURT DISTRICT 7 - JAMES E. EDMONDSON,,17,17,1,YES,,72,175,2094,2341
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20007,SUPREME COURT DISTRICT 7 - JAMES E. EDMONDSON,,17,17,2,NO,,45,136,2063,2244
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20010,COURT OF CRIMINAL APPEALS DISTRICT 1 - DANA KUEHN,,17,17,1,YES,,74,164,2327,2565
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20010,COURT OF CRIMINAL APPEALS DISTRICT 1 - DANA KUEHN,,17,17,2,NO,,43,135,1790,1968
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20013,COURT OF CRIMINAL APPEALS DISTRICT 4 - SCOTT ROWLAND,,17,17,1,YES,,76,155,2333,2564
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20013,COURT OF CRIMINAL APPEALS DISTRICT 4 - SCOTT ROWLAND,,17,17,2,NO,,42,146,1764,1952
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20014,COURT OF CRIMINAL APPEALS DISTRICT 5 - DAVID B. LEWIS,,17,17,1,YES,,72,155,2266,2493
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20014,COURT OF CRIMINAL APPEALS DISTRICT 5 - DAVID B. LEWIS,,17,17,2,NO,,47,148,1832,2027
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20021,COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 1 - BARBARA GREEN SWINTON,,17,17,1,YES,,79,166,2287,2532
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20021,COURT OF CIVIL APPEALS DISTRICT 4 - OFFICE 1 - BARBARA GREEN SWINTON,,17,17,2,NO,,42,135,1823,2000
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20023,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1 - KENNETH L. BUETTNER,,17,17,1,YES,,79,156,2262,2497
11/06/2018,ADAIR,"FEDERAL, STATE AND COUNTY",20023,COURT OF CIVIL APPEALS DISTRICT 5 - OFFICE 1 - KENNETH L. BUETTNER,,17,17,2,NO,,42,145,1825,2012
